"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"441",3.66922911835514e-44,0.575162204241764,0.386,0.05,8.75037760145333e-40,"0","SLC8A1"
"442",3.76421063138176e-44,0.788817791623641,0.747,0.263,8.97688951371921e-40,"0","EHBP1L1"
"443",4.12567973633447e-44,0.548887160571767,0.433,0.069,9.83892103521044e-40,"0","RNF144B"
"444",5.29296124886574e-44,0.521874473570631,0.419,0.061,1.2622653986295e-39,"0","GPBAR1"
"445",5.6587957186648e-44,0.776817921652125,0.78,0.314,1.34950960298718e-39,"0","RILPL2"
"446",8.21539475891308e-44,0.566006451463521,0.43,0.067,1.95920734210559e-39,"0","LINC00937"
"447",1.3423728389513e-43,0.695807928798034,0.639,0.179,3.20129074633106e-39,"0","RHOQ"
"448",1.37746640597569e-43,0.616111836688426,0.588,0.146,3.28498188497082e-39,"0","BLVRA"
"449",1.3994406619899e-43,0.668924504400298,0.523,0.117,3.33738609071353e-39,"0","CAMKK2"
"450",2.67314004185091e-43,0.738956921067537,0.816,0.337,6.37490437180606e-39,"0","CMTM6"
"451",5.3621588999254e-43,0.616757115004533,0.487,0.105,1.27876765445421e-38,"0","ROGDI"
"452",5.91615357873791e-43,0.798452642015086,0.874,0.427,1.41088430545742e-38,"0","CAPNS1"
"453",6.06822014280535e-43,0.755230934093186,0.682,0.227,1.44714913965622e-38,"0","NOTCH2"
"454",7.05777902400386e-43,0.445860797446227,0.285,0.017,1.68313914164444e-38,"0","IL1RN"
"455",8.48528699767114e-43,0.634983396197191,0.643,0.183,2.02357124320461e-38,"0","HIPK3"
"456",1.30617003655021e-42,0.535560478036069,0.419,0.067,3.11495430316495e-38,"0","TTYH3"
"457",1.9038169512686e-42,0.753823398459262,0.957,0.751,4.54022266538537e-38,"0","PCBP1"
"458",2.14575968734423e-42,0.746440076281073,0.971,0.78,5.11720770237853e-38,"0","ELOB"
"459",2.48762822205178e-42,0.48525918085094,0.368,0.047,5.93249578394909e-38,"0","MCTP1"
"460",2.63328823472374e-42,0.88625269711344,0.903,0.541,6.27986578216918e-38,"0","NBPF9"
"461",3.20090034412179e-42,0.739932411305528,0.668,0.216,7.63350714066165e-38,"0","NADK"
